#   6  AB   g          r          i          z          Y          0.00054643
#   6  AB   -0.077  0.193  0.425  0.533  0.582  1.840
    71    142      6    0.3714   -0.1134   -0.2577   -0.3109   -0.3498    0.3990
    72    144      6    0.3601   -0.1069   -0.2124   -0.2317   -0.1939    0.3653
    73    146      6    0.3793   -0.1315   -0.2522   -0.2960   -0.3342    0.2363
    74    148      6    0.6806   -0.3078   -0.4912   -0.5685   -0.6198    0.1221
    75    150      6    0.5281   -0.2093   -0.4248   -0.5279   -0.5763   -0.2064
    76    152      6    0.4795   -0.2090   -0.4336   -0.5300   -0.5750   -0.2190
    77    154      6    0.4509   -0.1872   -0.3768   -0.4637   -0.4846    0.1005
    78    156      6    0.4215   -0.1509   -0.3170   -0.3543   -0.3766    0.1633
    79    158      6    0.7114   -0.2969   -0.5583   -0.7179   -0.7935   -0.2942
    80    160      6    0.5197   -0.2362   -0.4787   -0.5832   -0.6443   -0.3453
    81    162      6    0.5284   -0.2171   -0.4407   -0.5370   -0.5765   -0.3009
    82    164      6    0.5546   -0.2492   -0.4846   -0.5928   -0.6343   -0.4952
    83    166      6    0.5336   -0.2348   -0.4600   -0.5786   -0.6146   -0.1256
    84    168      6    0.4359   -0.1872   -0.3725   -0.4391   -0.4513   -0.0051
    85    170      6    0.4718   -0.1881   -0.3504   -0.4379   -0.4828   -0.0895
    86    172      6    0.5665   -0.2758   -0.5440   -0.6733   -0.7460   -0.5011
    87    174      6    0.5684   -0.2402   -0.4839   -0.5837   -0.6219   -0.4927
    88    176      6    0.6234   -0.2714   -0.5442   -0.6914   -0.7790   -0.6948
    89    178      6    0.5567   -0.2835   -0.5339   -0.6822   -0.7466   -0.2381
    90    180      6    0.8670   -0.3747   -0.6996   -0.8874   -1.0014   -0.3109
    91    182      6    0.6329   -0.2926   -0.6038   -0.7573   -0.8190   -0.7425
    92    184      6    0.5808   -0.2576   -0.5439   -0.6637   -0.7262   -0.6903
    93    186      6    0.6738   -0.3029   -0.6089   -0.7576   -0.8145   -0.8851
    94    188      6    0.5395   -0.2329   -0.4490   -0.5393   -0.5698   -0.3017
    95    190      6    0.8186   -0.3749   -0.7593   -0.9994   -1.1039   -1.2192
    96    192      6    0.9204   -0.4399   -0.8201   -1.0150   -1.1416   -0.8595
    97    194      6    0.6772   -0.3285   -0.6434   -0.8149   -0.8928   -1.1944
    98    196      6    0.6490   -0.3111   -0.6440   -0.8151   -0.8761   -0.9902
    99    198      6    0.7470   -0.3298   -0.6504   -0.8446   -0.9188   -1.1682
   100    200      6    0.7010   -0.2980   -0.6238   -0.7632   -0.8064   -0.4732
   101    202      6    0.5866   -0.2752   -0.5581   -0.6650   -0.6908   -0.4263
   102    204      6    0.9700   -0.4795   -1.0438   -1.3768   -1.4940   -1.7041
   103    206      6    0.8349   -0.3695   -0.7726   -1.0043   -1.0785   -1.4179
